s d ratio, s/d ratio
acs,aortic cusp separation
aortic cusp separation,aortic cusp separation
ao root area,aortic root area
ao root diam,aortic root diameter
ao max pg,aortic valve max pressure gradient
aortic max grad,aortic valve max pressure gradient
aortic peak gradient,aortic valve max pressure gradient
av pg,aortic valve max pressure gradient
ao mean pg,aortic valve mean gradient
aortic mean grad,aortic valve mean gradient
aortic mean gradient,aortic valve mean gradient
aortic valve mean gradient,aortic valve mean gradient
aov mean gradient,aortic valve mean gradient
av mg,aortic valve mean gradient
ao valve opening,aortic valve orifice area
aortic orifice area,aortic valve orifice area
aortic valve area,aortic valve orifice area
aortic valve orifice area,aortic valve orifice area
ava,aortic valve orifice area
ava i d,aortic valve orifice area
ava v d,aortic valve orifice area
ai,aortic valve regurgitation
ai severity,aortic valve regurgitation
aortic insufficiency,aortic valve regurgitation
aortic regurgitation,aortic valve regurgitation
aortic valve insufficiency,aortic valve regurgitation
aortic valve regurgitation,aortic valve regurgitation
aortic valvular regurgitation,aortic valve regurgitation
ar,aortic valve regurgitation
av insufficiency,aortic valve regurgitation
av regurgitation,aortic valve regurgitation
regurgitation of the aortic valve,aortic valve regurgitation
aortic valve regurgitation peak velocity,aortic valve regurgitation peak velocity
aortic stenosis,aortic valve stenosis
aortic stenosis aortic valve area,aortic valve stenosis
aortic stenosis valve area,aortic valve stenosis
aortic valve stenosis,aortic valve stenosis
valvular aortic stenosis,aortic valve stenosis
blood pressure,blood pressure
maximum blood pressure,blood pressure
maximum systolic blood pressure,blood pressure
systolic blood pressure,blood pressure
co mod sp4,coronary output
e pnt sep spn,e point septal separation
e a prime,e/a ratio
e a prime ratio,e/a ratio
e a ratio,e/a ratio
lateral e a ratio,e/a ratio
left ventricle e a,e/a ratio
left ventricle e a ratio,e/a ratio
lv e a,e/a ratio
mitral e a,e/a ratio
mitral e to a ratio,e/a ratio
mitral inflow e a ratio,e/a ratio
mv e a,e/a ratio
mv e a ratio,e/a ratio
e e',e/e prime ratio
e e' lat,e/e prime ratio
e e' lateral,e/e prime ratio
e e' medial,e/e prime ratio
e e prime,e/e prime ratio
e e prime ratio,e/e prime ratio
e e' ratio,e/e prime ratio
e prime,e/e prime ratio
e to e',e/e prime ratio
e to e prime ratio,e/e prime ratio
e to e' ratio,e/e prime ratio
ee',e/e prime ratio
eprime,e/e prime ratio
mv e to ea ratio,e/e prime ratio
edv teich,end diastolic volume
esv teich,end systolic volume
fract short,fractional shortening
fract shortening,fractional shortening
fraction short,fractional shortening
fraction shortened rate,fractional shortening
fraction shortening,fractional shortening
fractional shortening rate,fractional shortening
fs,fractional shortening
lvsf,fractional shortening
heart rate,heart rate
maximum heart rate,heart rate
ivc,inferior vena cava diameter
end diastolic septal thickness,interventricular septum dimension at end diastole
interventricular septal thickness diastolic,interventricular septum dimension at end diastole
interventricular septal thickness during diastole,interventricular septum dimension at end diastole
interventricular septum diastole,interventricular septum dimension at end diastole
interventricular septum in diastole,interventricular septum dimension at end diastole
